student_id,student_name,overall_percentage
STU00054,Mr. Roy Ernser III,43.4
STU00055,Christopher Cronin,42.0
STU00056,Silvia Dietrich,31.8
STU00057,Gail Blick,51.4
STU00058,Mrs. Naomi Ernser,59.4
STU00059,Hubert Swaniawski,29.6
STU00060,Andre McLaughlin,63.8
STU00061,Mr. Patrick Crona,52.0
STU00062,Bob Beier,32.0
STU00063,Mrs. Claire Bauch,36.6
STU00064,Meghan Jast,44.0
STU00065,Craig Beatty,33.6
STU00066,Phyllis Reilly Jr.,44.0
STU00067,Carole Lubowitz,73.6
STU00068,Andres Lemke,77.0
STU00069,Jeremy Davis,45.4
STU00070,Perry Kerluke,65.8
STU00071,Drew Ferry,35.4
STU00072,Kendra Marks,46.6
STU00073,Yvonne Kuhlman,35.4
STU00074,Traci Miller,56.8
STU00075,Mr. Grady Kertzmann,55.8
STU00076,Gerardo Kihn,30.6
STU00077,Mr. Gregg Gusikowski,62.8
STU00078,Charles Stiedemann,53.6
STU00079,Hilda Treutel,49.4
STU00080,Juanita Howell,44.2
STU00081,Jessie Mohr,42.8
STU00082,Jeremy Metz,39.8
STU00083,Gilberto Gibson,47.0
STU00084,Eileen Ondricka,34.8
STU00085,Mr. Albert Hoeger,51.2
STU00086,Mr. Marcus Heathcote Sr.,38.8
STU00087,Matthew MacGyver,79.2
STU00088,Marcella Funk,70.0
STU00089,Tommy Mante,57.0
STU00090,Cristina Conn,53.8
STU00091,Amber Windler,57.6
STU00092,Leticia Senger III,54.6
STU00093,Mr. Patrick Mueller,49.6
STU00094,Cedric Bergstrom Jr.,56.4
STU00095,Elizabeth Ward,62.6
STU00096,Renee Schinner,67.0
STU00097,Marguerite Ebert,63.4
STU00098,Jorge Bednar,56.6
STU00099,Mrs. Roxanne Jacobi,51.8
STU00100,Dean Schowalter,62.8
STU00101,Student_STU00101,19.2
STU00102,Student_STU00102,7.73
STU00103,Student_STU00103,13.81
STU00104,Student_STU00104,53.02
STU00105,Student_STU00105,55.3
STU00106,Student_STU00106,17.82
STU00107,Student_STU00107,29.89
STU00108,Student_STU00108,17.26
STU00109,Student_STU00109,20.35
STU00110,Student_STU00110,30.86
STU00111,Student_STU00111,42.04
STU00112,Student_STU00112,12.13
STU00113,Student_STU00113,24.32
STU00114,Student_STU00114,17.67
STU00115,Student_STU00115,11.4
STU00116,Student_STU00116,19.47
STU00117,Student_STU00117,30.55
STU00118,Student_STU00118,38.49
STU00119,Student_STU00119,50.99
STU00120,Student_STU00120,25.13
STU00121,Student_STU00121,22.07
STU00122,Student_STU00122,35.94
STU00123,Student_STU00123,12.21
STU00124,Student_STU00124,28.04
STU00125,Student_STU00125,16.52
STU00126,Student_STU00126,6.62
STU00127,Student_STU00127,12.65
STU00128,Student_STU00128,26.53
STU00129,Student_STU00129,9.33
STU00130,Student_STU00130,8.84
STU00131,Student_STU00131,24.17
STU00132,Student_STU00132,8.1
STU00133,Student_STU00133,15.04
STU00134,Student_STU00134,39.97
STU00135,Student_STU00135,17.17
STU00136,Student_STU00136,43.98
STU00137,Student_STU00137,13.12
STU00138,Student_STU00138,46.45
STU00139,Student_STU00139,41.36
STU00140,Student_STU00140,51.14
STU00141,Student_STU00141,7.34
STU00142,Student_STU00142,15.72
STU00143,Student_STU00143,19.77
STU00144,Student_STU00144,10.43
STU00145,Student_STU00145,9.74
STU00146,Student_STU00146,8.92
STU00147,Student_STU00147,16.7
STU00148,Student_STU00148,22.7
STU00149,Student_STU00149,26.88
STU00150,Student_STU00150,19.11
STU00151,Student_STU00151,40.6
STU00152,Student_STU00152,22.18
STU00153,Student_STU00153,7.89
STU00154,Student_STU00154,36.65
STU00155,Student_STU00155,53.16
STU00156,Student_STU00156,18.24
STU00157,Student_STU00157,53.36
STU00158,Student_STU00158,51.58
STU00159,Student_STU00159,31.24
STU00160,Student_STU00160,51.34
STU00161,Student_STU00161,10.52
STU00162,Student_STU00162,10.84
STU00163,Student_STU00163,19.59
STU00164,Student_STU00164,21.38
STU00165,Student_STU00165,12.59
STU00166,Student_STU00166,13.56
STU00167,Student_STU00167,27.57
STU00168,Student_STU00168,6.18
STU00169,Student_STU00169,8.92
STU00170,Student_STU00170,21.4
STU00171,Student_STU00171,16.61
STU00172,Student_STU00172,13.42
STU00173,Student_STU00173,20.4
STU00174,Student_STU00174,7.01
STU00175,Student_STU00175,39.95
STU00176,Student_STU00176,6.22
STU00177,Student_STU00177,36.75
STU00178,Student_STU00178,38.28
STU00179,Student_STU00179,49.54
STU00180,Student_STU00180,6.35
STU00181,Student_STU00181,54.32
STU00182,Student_STU00182,17.7
STU00183,Student_STU00183,44.1
STU00184,Student_STU00184,16.11
STU00185,Student_STU00185,16.46
STU00186,Student_STU00186,39.96
STU00187,Student_STU00187,23.15
STU00188,Student_STU00188,6.05
STU00189,Student_STU00189,11.25
STU00190,Student_STU00190,40.02
STU00191,Student_STU00191,24.39
STU00192,Student_STU00192,19.56
STU00193,Student_STU00193,23.92
STU00194,Student_STU00194,42.43
STU00195,Student_STU00195,24.45
STU00196,Student_STU00196,19.13
STU00197,Student_STU00197,5.61
STU00198,Student_STU00198,41.44
STU00199,Student_STU00199,12.03
STU00200,Student_STU00200,32.36
STU00201,Student_STU00201,72.67
STU00202,Student_STU00202,82.33
STU00203,Student_STU00203,92.67
STU00204,Student_STU00204,49.33
STU00205,Student_STU00205,76.33
STU00206,Student_STU00206,77.33
STU00207,Student_STU00207,91.67
STU00208,Student_STU00208,40.67
STU00209,Student_STU00209,65.0
STU00210,Student_STU00210,49.33
STU00211,Student_STU00211,54.67
STU00212,Student_STU00212,45.0
STU00213,Student_STU00213,73.0
STU00214,Student_STU00214,73.33
STU00215,Student_STU00215,53.67
STU00216,Student_STU00216,74.0
STU00217,Student_STU00217,87.67
STU00218,Student_STU00218,26.0
STU00219,Student_STU00219,44.67
STU00220,Student_STU00220,57.67
STU00221,Student_STU00221,66.0
STU00222,Student_STU00222,70.0
STU00223,Student_STU00223,50.33
STU00224,Student_STU00224,71.67
STU00225,Student_STU00225,75.0
STU00226,Student_STU00226,73.0
STU00227,Student_STU00227,59.33
STU00228,Student_STU00228,70.33
STU00229,Student_STU00229,68.33
STU00230,Student_STU00230,69.0
STU00231,Student_STU00231,72.33
STU00232,Student_STU00232,63.0
STU00233,Student_STU00233,64.33
STU00234,Student_STU00234,40.0
STU00235,Student_STU00235,88.67
STU00236,Student_STU00236,80.33
STU00237,Student_STU00237,79.33
STU00238,Student_STU00238,57.67
STU00239,Student_STU00239,84.33
STU00240,Student_STU00240,56.67
STU00241,Student_STU00241,56.67
STU00242,Student_STU00242,66.33
STU00243,Student_STU00243,58.67
STU00244,Student_STU00244,63.33
STU00245,Student_STU00245,53.33
STU00246,Student_STU00246,58.67
STU00247,Student_STU00247,60.67
STU00248,Student_STU00248,71.0
STU00249,Student_STU00249,69.0
STU00250,Student_STU00250,82.67
STU00251,Student_STU00251,52.0
STU00252,Student_STU00252,71.33
STU00253,Student_STU00253,46.33
STU00254,Student_STU00254,80.33
STU00255,Student_STU00255,80.67
STU00256,Student_STU00256,39.0
STU00257,Student_STU00257,84.33
STU00258,Student_STU00258,52.0
STU00259,Student_STU00259,58.33
STU00260,Student_STU00260,9.0
STU00261,Student_STU00261,75.0
STU00262,Student_STU00262,37.33
STU00263,Student_STU00263,59.33
STU00264,Student_STU00264,73.33
STU00265,Student_STU00265,58.67
STU00266,Student_STU00266,64.0
STU00267,Student_STU00267,39.67
STU00268,Student_STU00268,68.67
STU00269,Student_STU00269,58.33
STU00270,Student_STU00270,53.33
STU00271,Student_STU00271,64.67
STU00272,Student_STU00272,60.33
STU00273,Student_STU00273,46.67
STU00274,Student_STU00274,58.0
STU00275,Student_STU00275,46.33
STU00276,Student_STU00276,41.0
STU00277,Student_STU00277,26.0
STU00278,Student_STU00278,79.67
STU00279,Student_STU00279,69.0
STU00280,Student_STU00280,66.0
STU00281,Student_STU00281,48.67
STU00282,Student_STU00282,46.33
STU00283,Student_STU00283,50.33
STU00284,Student_STU00284,66.33
STU00285,Student_STU00285,38.33
STU00286,Student_STU00286,78.33
STU00287,Student_STU00287,82.33
STU00288,Student_STU00288,72.0
STU00289,Student_STU00289,65.0
STU00290,Student_STU00290,80.33
STU00291,Student_STU00291,70.33
STU00292,Student_STU00292,32.33
STU00293,Student_STU00293,73.67
STU00294,Student_STU00294,46.0
STU00295,Student_STU00295,85.67
STU00296,Student_STU00296,80.33
STU00297,Student_STU00297,64.33
STU00298,Student_STU00298,68.33
STU00299,Student_STU00299,62.33
STU00300,Student_STU00300,64.67
STU00301,Student_STU00301,71.0
STU00302,Student_STU00302,72.0
STU00303,Student_STU00303,88.33
STU00304,Student_STU00304,50.33
STU00305,Student_STU00305,91.33
STU00306,Student_STU00306,65.67
STU00307,Student_STU00307,95.67
STU00308,Student_STU00308,64.33
STU00309,Student_STU00309,66.0
STU00310,Student_STU00310,68.67
STU00311,Student_STU00311,88.0
STU00312,Student_STU00312,55.33
STU00313,Student_STU00313,51.33
STU00314,Student_STU00314,54.33
STU00315,Student_STU00315,99.67
STU00316,Student_STU00316,78.33
STU00317,Student_STU00317,80.67
STU00318,Student_STU00318,79.67
STU00319,Student_STU00319,58.33
STU00320,Student_STU00320,63.0
STU00321,Student_STU00321,86.67
STU00322,Student_STU00322,90.67
STU00323,Student_STU00323,91.33
STU00324,Student_STU00324,58.67
STU00325,Student_STU00325,78.67
STU00326,Student_STU00326,89.33
STU00327,Student_STU00327,69.0
STU00328,Student_STU00328,72.0
STU00329,Student_STU00329,79.33
STU00330,Student_STU00330,50.33
STU00331,Student_STU00331,85.0
STU00332,Student_STU00332,43.33
STU00333,Student_STU00333,77.0
STU00334,Student_STU00334,80.0
STU00335,Student_STU00335,76.0
STU00336,Student_STU00336,53.67
STU00337,Student_STU00337,48.67
STU00338,Student_STU00338,60.33
STU00339,Student_STU00339,64.0
STU00340,Student_STU00340,67.0
STU00341,Student_STU00341,73.0
STU00342,Student_STU00342,61.67
STU00343,Student_STU00343,50.33
STU00344,Student_STU00344,49.0
STU00345,Student_STU00345,79.67
STU00346,Student_STU00346,31.33
STU00347,Student_STU00347,82.33
STU00348,Student_STU00348,69.0
STU00349,Student_STU00349,74.67
STU00350,Student_STU00350,97.67
STU00351,Student_STU00351,66.0
STU00352,Student_STU00352,70.67
STU00353,Student_STU00353,65.0
STU00354,Student_STU00354,50.0
STU00355,Student_STU00355,63.33
STU00356,Student_STU00356,82.33
STU00357,Student_STU00357,72.67
STU00358,Student_STU00358,60.0
STU00359,Student_STU00359,78.0
STU00360,Student_STU00360,64.0
STU00361,Student_STU00361,78.0
STU00362,Student_STU00362,82.67
STU00363,Student_STU00363,51.33
STU00364,Student_STU00364,51.33
STU00365,Student_STU00365,88.0
STU00366,Student_STU00366,98.67
STU00367,Student_STU00367,51.67
STU00368,Student_STU00368,70.67
STU00369,Student_STU00369,76.33
STU00370,Student_STU00370,70.67
STU00371,Student_STU00371,73.0
STU00372,Student_STU00372,86.67
STU00373,Student_STU00373,82.0
STU00374,Student_STU00374,66.67
STU00375,Student_STU00375,49.33
STU00376,Student_STU00376,86.33
STU00377,Student_STU00377,52.67
STU00378,Student_STU00378,75.0
STU00379,Student_STU00379,61.33
STU00380,Student_STU00380,99.0
STU00381,Student_STU00381,68.33
STU00382,Student_STU00382,58.67
STU00383,Student_STU00383,49.0
STU00384,Student_STU00384,68.0
STU00385,Student_STU00385,48.67
STU00386,Student_STU00386,65.67
STU00387,Student_STU00387,73.67
STU00388,Student_STU00388,65.33
STU00389,Student_STU00389,48.33
STU00390,Student_STU00390,84.0
STU00391,Student_STU00391,66.67
STU00392,Student_STU00392,79.33
STU00393,Student_STU00393,64.0
STU00394,Student_STU00394,67.0
STU00395,Student_STU00395,79.33
STU00396,Student_STU00396,56.0
STU00397,Student_STU00397,64.33
STU00398,Student_STU00398,54.0
STU00399,Student_STU00399,51.0
STU00400,Student_STU00400,77.67
STU00401,Student_STU00401,79.0
STU00402,Student_STU00402,74.33
STU00403,Student_STU00403,71.67
STU00404,Student_STU00404,64.67
STU00405,Student_STU00405,47.33
STU00406,Student_STU00406,74.33
STU00407,Student_STU00407,68.67
STU00408,Student_STU00408,79.0
STU00409,Student_STU00409,77.0
STU00410,Student_STU00410,61.67
STU00411,Student_STU00411,79.33
STU00412,Student_STU00412,30.0
STU00413,Student_STU00413,54.67
STU00414,Student_STU00414,55.67
STU00415,Student_STU00415,86.33
STU00416,Student_STU00416,80.67
STU00417,Student_STU00417,85.67
STU00418,Student_STU00418,38.33
STU00419,Student_STU00419,71.0
STU00420,Student_STU00420,57.67
STU00421,Student_STU00421,66.0
STU00422,Student_STU00422,81.67
STU00423,Student_STU00423,60.67
STU00424,Student_STU00424,80.33
STU00425,Student_STU00425,63.67
STU00426,Student_STU00426,51.67
STU00427,Student_STU00427,71.67
STU00428,Student_STU00428,53.67
STU00429,Student_STU00429,68.0
STU00430,Student_STU00430,92.33
STU00431,Student_STU00431,68.67
STU00432,Student_STU00432,43.67
STU00433,Student_STU00433,78.67
STU00434,Student_STU00434,85.67
STU00435,Student_STU00435,83.0
STU00436,Student_STU00436,77.33
STU00437,Student_STU00437,65.33
STU00438,Student_STU00438,66.0
STU00439,Student_STU00439,52.33
STU00440,Student_STU00440,81.33
STU00441,Student_STU00441,69.0
STU00442,Student_STU00442,82.0
STU00443,Student_STU00443,54.33
STU00444,Student_STU00444,51.0
STU00445,Student_STU00445,72.67
STU00446,Student_STU00446,77.33
STU00447,Student_STU00447,79.67
STU00448,Student_STU00448,65.33
STU00449,Student_STU00449,63.67
STU00450,Student_STU00450,60.33
STU00451,Student_STU00451,48.33
STU00452,Student_STU00452,79.0
STU00453,Student_STU00453,66.67
STU00454,Student_STU00454,77.33
STU00455,Student_STU00455,52.67
STU00456,Student_STU00456,68.33
STU00457,Student_STU00457,68.33
STU00458,Student_STU00458,77.33
STU00459,Student_STU00459,74.33
STU00460,Student_STU00460,75.67
STU00461,Student_STU00461,73.33
STU00462,Student_STU00462,78.67
STU00463,Student_STU00463,48.33
STU00464,Student_STU00464,94.0
STU00465,Student_STU00465,72.33
STU00466,Student_STU00466,47.33
STU00467,Student_STU00467,73.0
STU00468,Student_STU00468,72.67
STU00469,Student_STU00469,91.67
STU00470,Student_STU00470,72.33
STU00471,Student_STU00471,64.33
STU00472,Student_STU00472,49.67
STU00473,Student_STU00473,52.67
STU00474,Student_STU00474,68.67
STU00475,Student_STU00475,83.0
STU00476,Student_STU00476,78.0
STU00477,Student_STU00477,90.0
STU00478,Student_STU00478,65.67
STU00479,Student_STU00479,77.0
STU00480,Student_STU00480,62.0
STU00481,Student_STU00481,49.0
STU00482,Student_STU00482,46.33
STU00483,Student_STU00483,78.67
STU00484,Student_STU00484,75.33
STU00485,Student_STU00485,43.0
STU00486,Student_STU00486,81.67
STU00487,Student_STU00487,89.0
STU00488,Student_STU00488,79.33
STU00489,Student_STU00489,79.67
STU00490,Student_STU00490,76.67
STU00491,Student_STU00491,71.33
STU00492,Student_STU00492,76.33
STU00493,Student_STU00493,60.0
STU00494,Student_STU00494,71.0
STU00495,Student_STU00495,78.33
STU00496,Student_STU00496,63.0
STU00497,Student_STU00497,43.33
STU00498,Student_STU00498,71.0
STU00499,Student_STU00499,45.33
STU00500,Student_STU00500,84.0
STU00501,Student_STU00501,80.0
STU00502,Student_STU00502,54.0
STU00503,Student_STU00503,77.33
STU00504,Student_STU00504,73.33
STU00505,Student_STU00505,77.33
STU00506,Student_STU00506,68.33
STU00507,Student_STU00507,89.0
STU00508,Student_STU00508,49.0
STU00509,Student_STU00509,63.67
STU00510,Student_STU00510,52.67
STU00511,Student_STU00511,76.33
STU00512,Student_STU00512,61.0
STU00513,Student_STU00513,65.33
STU00514,Student_STU00514,68.0
STU00515,Student_STU00515,66.0
STU00516,Student_STU00516,67.33
STU00517,Student_STU00517,83.33
STU00518,Student_STU00518,77.67
STU00519,Student_STU00519,67.67
STU00520,Student_STU00520,61.33
STU00521,Student_STU00521,76.67
STU00522,Student_STU00522,80.0
STU00523,Student_STU00523,77.33
STU00524,Student_STU00524,49.67
STU00525,Student_STU00525,43.33
STU00526,Student_STU00526,88.67
STU00527,Student_STU00527,61.33
STU00528,Student_STU00528,23.33
STU00529,Student_STU00529,78.0
STU00530,Student_STU00530,49.0
STU00531,Student_STU00531,64.0
STU00532,Student_STU00532,39.67
STU00533,Student_STU00533,57.0
STU00534,Student_STU00534,83.0
STU00535,Student_STU00535,90.33
STU00536,Student_STU00536,65.0
STU00537,Student_STU00537,71.67
STU00538,Student_STU00538,47.67
STU00539,Student_STU00539,29.67
STU00540,Student_STU00540,50.0
STU00541,Student_STU00541,57.0
STU00542,Student_STU00542,65.67
STU00543,Student_STU00543,73.0
STU00544,Student_STU00544,68.67
STU00545,Student_STU00545,73.0
STU00546,Student_STU00546,75.67
STU00547,Student_STU00547,60.0
STU00548,Student_STU00548,88.67
STU00549,Student_STU00549,71.67
STU00550,Student_STU00550,79.0
STU00551,Student_STU00551,62.0
STU00552,Student_STU00552,58.33
STU00553,Student_STU00553,73.67
STU00554,Student_STU00554,53.67
STU00555,Student_STU00555,66.67
STU00556,Student_STU00556,67.67
STU00557,Student_STU00557,61.67
STU00558,Student_STU00558,59.0
STU00559,Student_STU00559,60.67
STU00560,Student_STU00560,86.33
STU00561,Student_STU00561,59.67
STU00562,Student_STU00562,82.33
STU00563,Student_STU00563,56.0
STU00564,Student_STU00564,31.0
STU00565,Student_STU00565,59.0
STU00566,Student_STU00566,55.67
STU00567,Student_STU00567,60.0
STU00568,Student_STU00568,62.67
STU00569,Student_STU00569,55.33
STU00570,Student_STU00570,80.67
STU00571,Student_STU00571,77.33
STU00572,Student_STU00572,62.67
STU00573,Student_STU00573,73.33
STU00574,Student_STU00574,91.67
STU00575,Student_STU00575,67.33
STU00576,Student_STU00576,43.33
STU00577,Student_STU00577,84.0
STU00578,Student_STU00578,93.33
STU00579,Student_STU00579,77.0
STU00580,Student_STU00580,64.0
STU00581,Student_STU00581,83.0
STU00582,Student_STU00582,94.0
STU00583,Student_STU00583,77.0
STU00584,Student_STU00584,44.0
STU00585,Student_STU00585,41.33
STU00586,Student_STU00586,72.67
STU00587,Student_STU00587,69.0
STU00588,Student_STU00588,67.33
STU00589,Student_STU00589,63.33
STU00590,Student_STU00590,72.67
STU00591,Student_STU00591,66.33
STU00592,Student_STU00592,74.0
STU00593,Student_STU00593,70.0
STU00594,Student_STU00594,55.67
STU00595,Student_STU00595,72.0
STU00596,Student_STU00596,44.67
STU00597,Student_STU00597,60.0
STU00598,Student_STU00598,89.67
STU00599,Student_STU00599,64.67
STU00600,Student_STU00600,57.67
STU00601,Student_STU00601,60.0
STU00602,Student_STU00602,46.33
STU00603,Student_STU00603,56.33
STU00604,Student_STU00604,95.67
STU00605,Student_STU00605,58.33
STU00606,Student_STU00606,68.0
STU00607,Student_STU00607,64.33
STU00608,Student_STU00608,79.67
STU00609,Student_STU00609,55.0
STU00610,Student_STU00610,85.33
STU00611,Student_STU00611,71.67
STU00612,Student_STU00612,81.67
STU00613,Student_STU00613,65.67
STU00614,Student_STU00614,65.67
STU00615,Student_STU00615,67.33
STU00616,Student_STU00616,75.33
STU00617,Student_STU00617,71.0
STU00618,Student_STU00618,71.33
STU00619,Student_STU00619,63.0
STU00620,Student_STU00620,55.67
STU00621,Student_STU00621,89.33
STU00622,Student_STU00622,59.67
STU00623,Student_STU00623,57.33
STU00624,Student_STU00624,74.67
STU00625,Student_STU00625,38.0
STU00626,Student_STU00626,63.67
STU00627,Student_STU00627,85.0
STU00628,Student_STU00628,68.33
STU00629,Student_STU00629,59.0
STU00630,Student_STU00630,61.67
STU00631,Student_STU00631,63.0
STU00632,Student_STU00632,67.67
STU00633,Student_STU00633,57.33
STU00634,Student_STU00634,52.0
STU00635,Student_STU00635,68.33
STU00636,Student_STU00636,50.33
STU00637,Student_STU00637,69.0
STU00638,Student_STU00638,71.33
STU00639,Student_STU00639,59.0
STU00640,Student_STU00640,86.33
STU00641,Student_STU00641,75.67
STU00642,Student_STU00642,79.67
STU00643,Student_STU00643,67.0
STU00644,Student_STU00644,77.33
STU00645,Student_STU00645,78.0
STU00646,Student_STU00646,72.67
STU00647,Student_STU00647,65.0
STU00648,Student_STU00648,82.33
STU00649,Student_STU00649,45.0
STU00650,Student_STU00650,75.33
STU00651,Student_STU00651,78.0
STU00652,Student_STU00652,96.33
STU00653,Student_STU00653,72.0
STU00654,Student_STU00654,57.33
STU00655,Student_STU00655,58.67
STU00656,Student_STU00656,46.67
STU00657,Student_STU00657,85.67
STU00658,Student_STU00658,51.67
STU00659,Student_STU00659,100.0
STU00660,Student_STU00660,68.33
STU00661,Student_STU00661,55.33
STU00662,Student_STU00662,51.0
STU00663,Student_STU00663,72.33
STU00664,Student_STU00664,86.0
STU00665,Student_STU00665,65.0
STU00666,Student_STU00666,87.33
STU00667,Student_STU00667,31.67
STU00668,Student_STU00668,68.0
STU00669,Student_STU00669,83.33
STU00670,Student_STU00670,80.33
STU00671,Student_STU00671,86.0
STU00672,Student_STU00672,68.67
STU00673,Student_STU00673,79.33
STU00674,Student_STU00674,62.33
STU00675,Student_STU00675,90.33
STU00676,Student_STU00676,76.67
STU00677,Student_STU00677,68.0
STU00678,Student_STU00678,73.33
STU00679,Student_STU00679,63.0
STU00680,Student_STU00680,71.33
STU00681,Student_STU00681,70.67
STU00682,Student_STU00682,55.67
STU00683,Student_STU00683,65.67
STU00684,Student_STU00684,52.33
STU00685,Student_STU00685,51.67
STU00686,Student_STU00686,71.67
STU00687,Student_STU00687,54.67
STU00688,Student_STU00688,69.67
STU00689,Student_STU00689,58.0
STU00690,Student_STU00690,81.0
STU00691,Student_STU00691,75.33
STU00692,Student_STU00692,66.0
STU00693,Student_STU00693,85.33
STU00694,Student_STU00694,86.33
STU00695,Student_STU00695,62.0
STU00696,Student_STU00696,66.0
STU00697,Student_STU00697,51.33
STU00698,Student_STU00698,71.0
STU00699,Student_STU00699,67.67
STU00700,Student_STU00700,73.0
STU00701,Student_STU00701,78.33
STU00702,Student_STU00702,91.0
STU00703,Student_STU00703,59.33
STU00704,Student_STU00704,92.0
STU00705,Student_STU00705,51.0
STU00706,Student_STU00706,81.33
STU00707,Student_STU00707,68.0
STU00708,Student_STU00708,56.0
STU00709,Student_STU00709,78.0
STU00710,Student_STU00710,88.33
STU00711,Student_STU00711,73.33
STU00712,Student_STU00712,52.33
STU00713,Student_STU00713,54.33
STU00714,Student_STU00714,59.0
STU00715,Student_STU00715,89.33
STU00716,Student_STU00716,82.67
STU00717,Student_STU00717,82.33
STU00718,Student_STU00718,71.0
STU00719,Student_STU00719,74.0
STU00720,Student_STU00720,74.67
STU00721,Student_STU00721,57.33
STU00722,Student_STU00722,87.0
STU00723,Student_STU00723,61.33
STU00724,Student_STU00724,54.33
STU00725,Student_STU00725,51.33
STU00726,Student_STU00726,62.33
STU00727,Student_STU00727,59.0
STU00728,Student_STU00728,44.0
STU00729,Student_STU00729,39.0
STU00730,Student_STU00730,68.67
STU00731,Student_STU00731,69.33
STU00732,Student_STU00732,51.33
STU00733,Student_STU00733,60.33
STU00734,Student_STU00734,87.0
STU00735,Student_STU00735,70.0
STU00736,Student_STU00736,77.33
STU00737,Student_STU00737,56.33
STU00738,Student_STU00738,59.67
STU00739,Student_STU00739,74.0
STU00740,Student_STU00740,91.67
STU00741,Student_STU00741,70.67
STU00742,Student_STU00742,80.33
STU00743,Student_STU00743,79.0
STU00744,Student_STU00744,88.67
STU00745,Student_STU00745,64.33
STU00746,Student_STU00746,80.33
STU00747,Student_STU00747,96.33
STU00748,Student_STU00748,67.67
STU00749,Student_STU00749,64.33
STU00750,Student_STU00750,73.33
STU00751,Student_STU00751,73.33
STU00752,Student_STU00752,88.33
STU00753,Student_STU00753,46.0
STU00754,Student_STU00754,67.67
STU00755,Student_STU00755,46.0
STU00756,Student_STU00756,34.67
STU00757,Student_STU00757,68.67
STU00758,Student_STU00758,64.67
STU00759,Student_STU00759,64.33
STU00760,Student_STU00760,67.0
STU00761,Student_STU00761,76.0
STU00762,Student_STU00762,70.33
STU00763,Student_STU00763,92.67
STU00764,Student_STU00764,74.33
STU00765,Student_STU00765,48.33
STU00766,Student_STU00766,45.33
STU00767,Student_STU00767,97.33
STU00768,Student_STU00768,70.0
STU00769,Student_STU00769,52.67
STU00770,Student_STU00770,67.67
STU00771,Student_STU00771,72.0
STU00772,Student_STU00772,93.0
STU00773,Student_STU00773,57.0
STU00774,Student_STU00774,60.0
STU00775,Student_STU00775,75.33
STU00776,Student_STU00776,49.33
STU00777,Student_STU00777,54.67
STU00778,Student_STU00778,87.0
STU00779,Student_STU00779,54.0
STU00780,Student_STU00780,60.67
STU00781,Student_STU00781,91.33
STU00782,Student_STU00782,78.67
STU00783,Student_STU00783,71.33
STU00784,Student_STU00784,76.0
STU00785,Student_STU00785,74.33
STU00786,Student_STU00786,72.33
STU00787,Student_STU00787,67.0
STU00788,Student_STU00788,56.33
STU00789,Student_STU00789,61.0
STU00790,Student_STU00790,59.67
STU00791,Student_STU00791,56.33
STU00792,Student_STU00792,61.0
STU00793,Student_STU00793,66.67
STU00794,Student_STU00794,74.33
STU00795,Student_STU00795,97.0
STU00796,Student_STU00796,69.0
STU00797,Student_STU00797,23.0
STU00798,Student_STU00798,51.67
STU00799,Student_STU00799,73.0
STU00800,Student_STU00800,76.0
STU00801,Student_STU00801,59.0
STU00802,Student_STU00802,29.33
STU00803,Student_STU00803,78.0
STU00804,Student_STU00804,56.0
STU00805,Student_STU00805,87.67
STU00806,Student_STU00806,69.67
STU00807,Student_STU00807,83.67
STU00808,Student_STU00808,50.67
STU00809,Student_STU00809,62.33
